"Year","Difference between predicted and achieved SQA advanced higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2018","-5 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2019","-5 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2020","-5 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2022","-5 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2023","-5 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2011","-6 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2012","-6 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2014","-6 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2015","-6 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2017","-6 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2018","-6 points","All","Scotland","Male","All","Not main scheme application","5","0"," ","0"
"2020","-6 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2022","-6 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2011","Less than -6 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2012","Less than -6 points","All","Scotland","Male","All","Not main scheme application","10","10","0.909","0"
"2013","Less than -6 points","All","Scotland","Male","All","Not main scheme application","10","5"," ","0"
"2014","Less than -6 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2015","Less than -6 points","All","Scotland","Male","All","Not main scheme application","10","5"," ","0"
"2016","Less than -6 points","All","Scotland","Male","All","Not main scheme application","10","5"," ","0"
"2017","Less than -6 points","All","Scotland","Male","All","Not main scheme application","10","10"," ","0"
"2018","Less than -6 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2019","Less than -6 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2020","Less than -6 points","All","Scotland","Male","All","Not main scheme application","5","0"," ","0"
"2021","Less than -6 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2022","Less than -6 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2023","Less than -6 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2010","0 points","All","Scotland","Female","All","Main scheme application","220","205","0.923","0"
"2011","0 points","All","Scotland","Female","All","Main scheme application","245","230","0.927","0"
"2012","0 points","All","Scotland","Female","All","Main scheme application","235","210","0.895","0"
"2013","0 points","All","Scotland","Female","All","Main scheme application","280","255","0.917","0"
"2014","0 points","All","Scotland","Female","All","Main scheme application","265","235","0.894","0"
"2015","0 points","All","Scotland","Female","All","Main scheme application","250","225","0.9","0"
"2016","0 points","All","Scotland","Female","All","Main scheme application","350","310","0.891","0"
"2017","0 points","All","Scotland","Female","All","Main scheme application","315","285","0.908","0"
"2018","0 points","All","Scotland","Female","All","Main scheme application","360","330","0.914","0"
"2019","0 points","All","Scotland","Female","All","Main scheme application","365","350","0.9590000000000001","0"
"2020","0 points","All","Scotland","Female","All","Main scheme application","540","490","0.902","0"
"2021","0 points","All","Scotland","Female","All","Main scheme application","700","645","0.919","0"
"2022","0 points","All","Scotland","Female","All","Main scheme application","480","445","0.919","0"
"2023","0 points","All","Scotland","Female","All","Main scheme application","435","410","0.9400000000000001","0"
"2010","1 points","All","Scotland","Female","All","Main scheme application","40","35","0.923","0"
"2011","1 points","All","Scotland","Female","All","Main scheme application","30","25","0.8280000000000001","0"
"2012","1 points","All","Scotland","Female","All","Main scheme application","35","30","0.865","0"
"2013","1 points","All","Scotland","Female","All","Main scheme application","45","45","0.9570000000000001","0"
"2014","1 points","All","Scotland","Female","All","Main scheme application","25","25","0.9580000000000001","0"
"2015","1 points","All","Scotland","Female","All","Main scheme application","30","30","0.967","0"
"2016","1 points","All","Scotland","Female","All","Main scheme application","50","45","0.898","0"
"2017","1 points","All","Scotland","Female","All","Main scheme application","30","25","0.833","0"
"2018","1 points","All","Scotland","Female","All","Main scheme application","35","30","0.8240000000000001","0"
"2019","1 points","All","Scotland","Female","All","Main scheme application","35","30","0.9390000000000001","0"
"2020","1 points","All","Scotland","Female","All","Main scheme application","70","60","0.873","0"
"2021","1 points","All","Scotland","Female","All","Main scheme application","85","70","0.867","0"
"2022","1 points","All","Scotland","Female","All","Main scheme application","35","35","0.9430000000000001","0"
"2023","1 points","All","Scotland","Female","All","Main scheme application","40","40","0.929","0"
"2010","2 points","All","Scotland","Female","All","Main scheme application","20","20","1","0"
"2011","2 points","All","Scotland","Female","All","Main scheme application","10","10","0.917","0"
"2012","2 points","All","Scotland","Female","All","Main scheme application","5","5"," ","0"
"2013","2 points","All","Scotland","Female","All","Main scheme application","20","20","0.9","0"
"2014","2 points","All","Scotland","Female","All","Main scheme application","10","10","1","0"
"2015","2 points","All","Scotland","Female","All","Main scheme application","10","10"," ","0"
"2016","2 points","All","Scotland","Female","All","Main scheme application","10","10","0.917","0"
"2017","2 points","All","Scotland","Female","All","Main scheme application","10","10"," ","0"
"2018","2 points","All","Scotland","Female","All","Main scheme application","5","5"," ","0"
"2019","2 points","All","Scotland","Female","All","Main scheme application","5","5"," ","0"
"2020","2 points","All","Scotland","Female","All","Main scheme application","20","20","1","0"
"2021","2 points","All","Scotland","Female","All","Main scheme application","20","15","0.722","0"
"2022","2 points","All","Scotland","Female","All","Main scheme application","15","15","0.933","0"
"2023","2 points","All","Scotland","Female","All","Main scheme application","10","10"," ","0"
"2013","3 points","All","Scotland","Female","All","Main scheme application","5","5"," ","0"
"2014","3 points","All","Scotland","Female","All","Main scheme application","5","5"," ","0"
"2016","3 points","All","Scotland","Female","All","Main scheme application","5","5"," ","0"
"2020","3 points","All","Scotland","Female","All","Main scheme application","5","5"," ","0"
"2021","3 points","All","Scotland","Female","All","Main scheme application","10","5"," ","0"
"2010","-1 points","All","Scotland","Female","All","Main scheme application","125","110","0.911","0"
"2011","-1 points","All","Scotland","Female","All","Main scheme application","170","150","0.884","0"
"2012","-1 points","All","Scotland","Female","All","Main scheme application","140","120","0.851","0"
"2013","-1 points","All","Scotland","Female","All","Main scheme application","185","155","0.843","0"
"2014","-1 points","All","Scotland","Female","All","Main scheme application","160","135","0.867","0"
"2015","-1 points","All","Scotland","Female","All","Main scheme application","185","160","0.864","0"
"2016","-1 points","All","Scotland","Female","All","Main scheme application","195","170","0.891","0"
"2017","-1 points","All","Scotland","Female","All","Main scheme application","220","185","0.849","0"
"2018","-1 points","All","Scotland","Female","All","Main scheme application","210","180","0.861","0"
"2019","-1 points","All","Scotland","Female","All","Main scheme application","165","145","0.877","0"
"2020","-1 points","All","Scotland","Female","All","Main scheme application","180","155","0.877","0"
"2021","-1 points","All","Scotland","Female","All","Main scheme application","220","190","0.864","0"
"2022","-1 points","All","Scotland","Female","All","Main scheme application","245","215","0.882","0"
"2023","-1 points","All","Scotland","Female","All","Main scheme application","250","230","0.935","0"
"2010","-2 points","All","Scotland","Female","All","Main scheme application","110","95","0.87","0"
"2011","-2 points","All","Scotland","Female","All","Main scheme application","125","110","0.889","0"
"2012","-2 points","All","Scotland","Female","All","Main scheme application","135","115","0.8250000000000001","0"
"2013","-2 points","All","Scotland","Female","All","Main scheme application","145","135","0.924","0"
"2014","-2 points","All","Scotland","Female","All","Main scheme application","155","125","0.8180000000000001","0"
"2015","-2 points","All","Scotland","Female","All","Main scheme application","175","150","0.879","0"
"2016","-2 points","All","Scotland","Female","All","Main scheme application","160","140","0.899","0"
"2017","-2 points","All","Scotland","Female","All","Main scheme application","155","135","0.877","0"
"2018","-2 points","All","Scotland","Female","All","Main scheme application","165","145","0.877","0"
"2019","-2 points","All","Scotland","Female","All","Main scheme application","150","130","0.886","0"
"2020","-2 points","All","Scotland","Female","All","Main scheme application","130","115","0.877","0"
