"Year","Difference between predicted and achieved SQA higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2013","1 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","1 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","3 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","-1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-1 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","-1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-1 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","-1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-1 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","-1 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","-1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-2 points","All","Main scheme applicant","Not main scheme application","10","10","1","0"
"2011","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-2 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-2 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-3 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-3 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","-3 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-3 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-3 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","-3 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","-3 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-3 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-3 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-3 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","-3 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-3 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-4 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-4 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-4 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-4 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","-4 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","-4 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-4 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-4 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","-4 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","-4 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-4 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","-4 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-5 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-5 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","-5 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-5 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","-5 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","-5 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","-5 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","-5 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","-6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-6 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","-6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-6 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","-6 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","-6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-6 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","-6 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","Less than -6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","Less than -6 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","Less than -6 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","Less than -6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Less than -6 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","Less than -6 points","All","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2017","Less than -6 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","Less than -6 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","Less than -6 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","Less than -6 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Less than -6 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Less than -6 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2010","0 points","All","Main scheme applicant","Main scheme application","40","30","0.732","0"
"2011","0 points","All","Main scheme applicant","Main scheme application","35","20","0.606","0"
"2012","0 points","All","Main scheme applicant","Main scheme application","40","30","0.6900000000000001","0"
"2013","0 points","All","Main scheme applicant","Main scheme application","50","35","0.755","0"
"2014","0 points","All","Main scheme applicant","Main scheme application","50","30","0.577","0"
"2015","0 points","All","Main scheme applicant","Main scheme application","60","35","0.5650000000000001","0"
"2016","0 points","All","Main scheme applicant","Main scheme application","50","40","0.75","0"
"2017","0 points","All","Main scheme applicant","Main scheme application","45","30","0.744","0"
"2018","0 points","All","Main scheme applicant","Main scheme application","55","40","0.709","0"
"2019","0 points","All","Main scheme applicant","Main scheme application","35","30","0.889","0"
"2020","0 points","All","Main scheme applicant","Main scheme application","95","70","0.763","0"
"2021","0 points","All","Main scheme applicant","Main scheme application","80","70","0.864","0"
"2022","0 points","All","Main scheme applicant","Main scheme application","55","40","0.759","0"
"2023","0 points","All","Main scheme applicant","Main scheme application","55","40","0.719","0"
"2010","1 points","All","Main scheme applicant","Main scheme application","30","20","0.733","0"
"2011","1 points","All","Main scheme applicant","Main scheme application","40","20","0.538","0"
"2012","1 points","All","Main scheme applicant","Main scheme application","50","35","0.729","0"
"2013","1 points","All","Main scheme applicant","Main scheme application","30","20","0.621","0"
"2014","1 points","All","Main scheme applicant","Main scheme application","45","35","0.745","0"
"2015","1 points","All","Main scheme applicant","Main scheme application","45","30","0.6980000000000001","0"
"2016","1 points","All","Main scheme applicant","Main scheme application","25","20","0.846","0"
"2017","1 points","All","Main scheme applicant","Main scheme application","35","25","0.788","0"
"2018","1 points","All","Main scheme applicant","Main scheme application","30","25","0.793","0"
"2019","1 points","All","Main scheme applicant","Main scheme application","15","15","0.882","0"
"2020","1 points","All","Main scheme applicant","Main scheme application","45","40","0.8260000000000001","0"
"2021","1 points","All","Main scheme applicant","Main scheme application","50","35","0.735","0"
"2022","1 points","All","Main scheme applicant","Main scheme application","20","15","0.714","0"
"2023","1 points","All","Main scheme applicant","Main scheme application","35","25","0.727","0"
"2010","2 points","All","Main scheme applicant","Main scheme application","20","15","0.773","0"
"2011","2 points","All","Main scheme applicant","Main scheme application","25","20","0.769","0"
"2012","2 points","All","Main scheme applicant","Main scheme application","20","15","0.636","0"
"2013","2 points","All","Main scheme applicant","Main scheme application","30","25","0.8130000000000001","0"
"2014","2 points","All","Main scheme applicant","Main scheme application","30","25","0.833","0"
"2015","2 points","All","Main scheme applicant","Main scheme application","25","20","0.846","0"
"2016","2 points","All","Main scheme applicant","Main scheme application","25","20","0.76","0"
"2017","2 points","All","Main scheme applicant","Main scheme application","30","20","0.679","0"
"2018","2 points","All","Main scheme applicant","Main scheme application","25","15","0.5650000000000001","0"
"2019","2 points","All","Main scheme applicant","Main scheme application","20","15","0.667","0"
"2020","2 points","All","Main scheme applicant","Main scheme application","35","30","0.909","0"
"2021","2 points","All","Main scheme applicant","Main scheme application","40","35","0.897","0"
"2022","2 points","All","Main scheme applicant","Main scheme application","15","10"," ","0"
"2023","2 points","All","Main scheme applicant","Main scheme application","15","10","0.846","0"
"2010","3 points","All","Main scheme applicant","Main scheme application","20","15","0.789","0"
"2011","3 points","All","Main scheme applicant","Main scheme application","15","15","0.8240000000000001","0"
"2012","3 points","All","Main scheme applicant","Main scheme application","15","10","0.75","0"
"2013","3 points","All","Main scheme applicant","Main scheme application","20","15","0.833","0"
"2014","3 points","All","Main scheme applicant","Main scheme application","10","5"," ","0"
"2015","3 points","All","Main scheme applicant","Main scheme application","10","10","1","0"
"2016","3 points","All","Main scheme applicant","Main scheme application","10","10","1","0"
"2017","3 points","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","3 points","All","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","3 points","All","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","3 points","All","Main scheme applicant","Main scheme application","20","15","0.773","0"
"2021","3 points","All","Main scheme applicant","Main scheme application","25","20","0.8150000000000001","0"
"2022","3 points","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","3 points","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","More than 3 points","All","Main scheme applicant","Main scheme application","15","15","0.875","0"
"2011","More than 3 points","All","Main scheme applicant","Main scheme application","15","10","0.857","0"
"2012","More than 3 points","All","Main scheme applicant","Main scheme application","15","10","0.8","0"
"2013","More than 3 points","All","Main scheme applicant","Main scheme application","15","10","0.857","0"
"2014","More than 3 points","All","Main scheme applicant","Main scheme application","15","15","0.875","0"
"2015","More than 3 points","All","Main scheme applicant","Main scheme application","10","10"," ","0"
"2016","More than 3 points","All","Main scheme applicant","Main scheme application","15","10","0.714","0"
"2017","More than 3 points","All","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","More than 3 points","All","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","More than 3 points","All","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","More than 3 points","All","Main scheme applicant","Main scheme application","15","10","0.75","0"
"2021","More than 3 points","All","Main scheme applicant","Main scheme application","15","15","0.882","0"
"2022","More than 3 points","All","Main scheme applicant","Main scheme application","20","15","0.778","0"
"2023","More than 3 points","All","Main scheme applicant","Main scheme application","10","10","0.909","0"
"2010","-1 points","All","Main scheme applicant","Main scheme application","45","25","0.558","0"
"2011","-1 points","All","Main scheme applicant","Main scheme application","25","15","0.519","0"
"2012","-1 points","All","Main scheme applicant","Main scheme application","55","30","0.536","0"
"2013","-1 points","All","Main scheme applicant","Main scheme application","50","35","0.6880000000000001","0"
"2014","-1 points","All","Main scheme applicant","Main scheme application","50","30","0.667","0"
"2015","-1 points","All","Main scheme applicant","Main scheme application","65","30","0.438","0"
"2016","-1 points","All","Main scheme applicant","Main scheme application","45","30","0.6980000000000001","0"
"2017","-1 points","All","Main scheme applicant","Main scheme application","50","35","0.667","0"
"2018","-1 points","All","Main scheme applicant","Main scheme application","45","35","0.8140000000000001","0"
"2019","-1 points","All","Main scheme applicant","Main scheme application","40","30","0.75","0"
"2020","-1 points","All","Main scheme applicant","Main scheme application","50","35","0.66","0"
"2021","-1 points","All","Main scheme applicant","Main scheme application","50","40","0.745","0"
"2022","-1 points","All","Main scheme applicant","Main scheme application","35","25","0.735","0"
"2023","-1 points","All","Main scheme applicant","Main scheme application","40","30","0.6900000000000001","0"
"2010","-2 points","All","Main scheme applicant","Main scheme application","45","20","0.47700000000000004","0"
"2011","-2 points","All","Main scheme applicant","Main scheme application","50","30","0.58","0"
"2012","-2 points","All","Main scheme applicant","Main scheme application","50","25","0.521","0"
"2013","-2 points","All","Main scheme applicant","Main scheme application","40","20","0.525","0"
"2014","-2 points","All","Main scheme applicant","Main scheme application","55","30","0.509","0"
"2015","-2 points","All","Main scheme applicant","Main scheme application","55","30","0.544","0"
"2016","-2 points","All","Main scheme applicant","Main scheme application","45","30","0.609","0"
"2017","-2 points","All","Main scheme applicant","Main scheme application","50","30","0.64","0"
"2018","-2 points","All","Main scheme applicant","Main scheme application","35","25","0.722","0"
"2019","-2 points","All","Main scheme applicant","Main scheme application","45","25","0.5680000000000001","0"
"2020","-2 points","All","Main scheme applicant","Main scheme application","45","25","0.5680000000000001","0"
"2021","-2 points","All","Main scheme applicant","Main scheme application","35","25","0.722","0"
"2022","-2 points","All","Main scheme applicant","Main scheme application","35","30","0.853","0"
"2023","-2 points","All","Main scheme applicant","Main scheme application","45","30","0.674","0"
"2010","-3 points","All","Main scheme applicant","Main scheme application","30","20","0.5630000000000001","0"
"2011","-3 points","All","Main scheme applicant","Main scheme application","30","15","0.5","0"
"2012","-3 points","All","Main scheme applicant","Main scheme application","45","20","0.442","0"
"2013","-3 points","All","Main scheme applicant","Main scheme application","45","20","0.435","0"
"2014","-3 points","All","Main scheme applicant","Main scheme application","65","20","0.333","0"
"2015","-3 points","All","Main scheme applicant","Main scheme application","45","15","0.333","0"
"2016","-3 points","All","Main scheme applicant","Main scheme application","45","20","0.489","0"
"2017","-3 points","All","Main scheme applicant","Main scheme application","35","20","0.486","0"
"2018","-3 points","All","Main scheme applicant","Main scheme application","40","25","0.5710000000000001","0"
"2019","-3 points","All","Main scheme applicant","Main scheme application","40","20","0.525","0"
"2020","-3 points","All","Main scheme applicant","Main scheme application","30","10"," ","0"
"2021","-3 points","All","Main scheme applicant","Main scheme application","25","15","0.667","0"
"2022","-3 points","All","Main scheme applicant","Main scheme application","25","10","0.444","0"
"2023","-3 points","All","Main scheme applicant","Main scheme application","30","25","0.833","0"
"2010","-4 points","All","Main scheme applicant","Main scheme application","20","10","0.5","0"
"2011","-4 points","All","Main scheme applicant","Main scheme application","25","5"," ","0"
"2012","-4 points","All","Main scheme applicant","Main scheme application","50","15","0.3","0"
"2013","-4 points","All","Main scheme applicant","Main scheme application","20","10"," ","0"
"2014","-4 points","All","Main scheme applicant","Main scheme application","45","20","0.391","0"
"2015","-4 points","All","Main scheme applicant","Main scheme application","50","15","0.32","0"
"2016","-4 points","All","Main scheme applicant","Main scheme application","50","15","0.333","0"
"2017","-4 points","All","Main scheme applicant","Main scheme application","35","15","0.486","0"
"2018","-4 points","All","Main scheme applicant","Main scheme application","40","20","0.537","0"
"2019","-4 points","All","Main scheme applicant","Main scheme application","45","25","0.533","0"
"2020","-4 points","All","Main scheme applicant","Main scheme application","25","15","0.63","0"
"2021","-4 points","All","Main scheme applicant","Main scheme application","15","10","0.846","0"
"2022","-4 points","All","Main scheme applicant","Main scheme application","15","10"," ","0"
"2023","-4 points","All","Main scheme applicant","Main scheme application","20","10","0.524","0"
"2010","-5 points","All","Main scheme applicant","Main scheme application","30","10"," ","0"
"2011","-5 points","All","Main scheme applicant","Main scheme application","25","10"," ","0"
"2012","-5 points","All","Main scheme applicant","Main scheme application","40","15","0.359","0"
"2013","-5 points","All","Main scheme applicant","Main scheme application","30","10","0.323","0"
"2014","-5 points","All","Main scheme applicant","Main scheme application","25","5"," ","0"
"2015","-5 points","All","Main scheme applicant","Main scheme application","30","10"," ","0"
"2016","-5 points","All","Main scheme applicant","Main scheme application","30","5"," ","0"
"2017","-5 points","All","Main scheme applicant","Main scheme application","25","10","0.522","0"
"2018","-5 points","All","Main scheme applicant","Main scheme application","45","25","0.591","0"
"2019","-5 points","All","Main scheme applicant","Main scheme application","25","10"," ","0"
"2020","-5 points","All","Main scheme applicant","Main scheme application","15","5"," ","0"
"2021","-5 points","All","Main scheme applicant","Main scheme application","10","5"," ","0"
"2022","-5 points","All","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","-5 points","All","Main scheme applicant","Main scheme application","20","10"," ","0"
"2010","-6 points","All","Main scheme applicant","Main scheme application","20","5"," ","0"
"2011","-6 points","All","Main scheme applicant","Main scheme application","15","0"," ","0"
"2012","-6 points","All","Main scheme applicant","Main scheme application","25","5"," ","0"
"2013","-6 points","All","Main scheme applicant","Main scheme application","20","0"," ","0"
"2014","-6 points","All","Main scheme applicant","Main scheme application","20","5"," ","0"
"2015","-6 points","All","Main scheme applicant","Main scheme application","25","5"," ","0"
"2016","-6 points","All","Main scheme applicant","Main scheme application","30","5"," ","0"
"2017","-6 points","All","Main scheme applicant","Main scheme application","25","5"," ","0"
"2018","-6 points","All","Main scheme applicant","Main scheme application","25","10"," ","0"
"2019","-6 points","All","Main scheme applicant","Main scheme application","30","10","0.34500000000000003","0"
"2020","-6 points","All","Main scheme applicant","Main scheme application","10","0"," ","0"
"2021","-6 points","All","Main scheme applicant","Main scheme application","10","5"," ","0"
"2022","-6 points","All","Main scheme applicant","Main scheme application","15","5"," ","0"
"2023","-6 points","All","Main scheme applicant","Main scheme application","15","10"," ","0"
"2010","Less than -6 points","All","Main scheme applicant","Main scheme application","40","5"," ","0"
"2011","Less than -6 points","All","Main scheme applicant","Main scheme application","40","5"," ","0"
"2012","Less than -6 points","All","Main scheme applicant","Main scheme application","65","5"," ","0"
"2013","Less than -6 points","All","Main scheme applicant","Main scheme application","50","5"," ","0"
"2014","Less than -6 points","All","Main scheme applicant","Main scheme application","65","5"," ","0"
"2015","Less than -6 points","All","Main scheme applicant","Main scheme application","80","10","0.136","0"
"2016","Less than -6 points","All","Main scheme applicant","Main scheme application","55","10"," ","0"
"2017","Less than -6 points","All","Main scheme applicant","Main scheme application","55","10"," ","0"
"2018","Less than -6 points","All","Main scheme applicant","Main scheme application","65","25","0.358","0"
"2019","Less than -6 points","All","Main scheme applicant","Main scheme application","50","10","0.212","0"
"2020","Less than -6 points","All","Main scheme applicant","Main scheme application","15","5"," ","0"
"2021","Less than -6 points","All","Main scheme applicant","Main scheme application","40","15","0.359","0"
"2022","Less than -6 points","All","Main scheme applicant","Main scheme application","45","10","0.267","0"
"2023","Less than -6 points","All","Main scheme applicant","Main scheme application","60","15","0.233","0"
"2010","All","All","Main scheme applicant","Not main scheme application","50","45","0.882","0"
"2011","All","All","Main scheme applicant","Not main scheme application","30","25","0.767","0"
"2012","All","All","Main scheme applicant","Not main scheme application","45","30","0.727","0"
"2013","All","All","Main scheme applicant","Not main scheme application","30","20","0.677","0"
"2014","All","All","Main scheme applicant","Not main scheme application","55","40","0.684","0"
"2015","All","All","Main scheme applicant","Not main scheme application","75","45","0.603","0"
"2016","All","All","Main scheme applicant","Not main scheme application","50","30","0.549","0"
"2017","All","All","Main scheme applicant","Not main scheme application","45","35","0.761","0"
"2018","All","All","Main scheme applicant","Not main scheme application","40","20","0.526","0"
"2019","All","All","Main scheme applicant","Not main scheme application","45","30","0.674","0"
"2020","All","All","Main scheme applicant","Not main scheme application","50","45","0.9","0"
"2021","All","All","Main scheme applicant","Not main scheme application","25","20","0.731","0"
"2022","All","All","Main scheme applicant","Not main scheme application","30","20","0.621","0"
"2023","All","All","Main scheme applicant","Not main scheme application","35","25","0.735","0"
"2010","All","All","Main scheme applicant","Main scheme application","360","190","0.524","0"
"2011","All","All","Main scheme applicant","Main scheme application","345","170","0.49","0"
"2012","All","All","Main scheme applicant","Main scheme application","470","215","0.455","0"
"2013","All","All","Main scheme applicant","Main scheme application","400","210","0.525","0"
"2014","All","All","Main scheme applicant","Main scheme application","480","225","0.47000000000000003","0"
"2015","All","All","Main scheme applicant","Main scheme application","510","220","0.437","0"
"2016","All","All","Main scheme applicant","Main scheme application","425","220","0.517","0"
"2017","All","All","Main scheme applicant","Main scheme application","395","215","0.547","0"
"2018","All","All","Main scheme applicant","Main scheme application","420","255","0.604","0"
"2019","All","All","Main scheme applicant","Main scheme application","365","205","0.56","0"
"2020","All","All","Main scheme applicant","Main scheme application","395","265","0.668","0"
"2021","All","All","Main scheme applicant","Main scheme application","400","290","0.728","0"
"2022","All","All","Main scheme applicant","Main scheme application","290","180","0.623","0"
"2023","All","All","Main scheme applicant","Main scheme application","350","215","0.616","0"
"2019","0 points","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2020","0 points","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2010","0 points","Quintile 3","All","Not main scheme application","5","0"," ","0"
"2010","-2 points","Quintile 3","All","Not main scheme application","5","5"," ","0"
"2020","-2 points","Quintile 3","All","Not main scheme application","5","5"," ","0"
"2021","-2 points","Quintile 3","All","Not main scheme application","5","5"," ","0"
"2015","-4 points","Quintile 3","All","Not main scheme application","5","0"," ","0"
"2016","-4 points","Quintile 3","All","Not main scheme application","5","0"," ","0"
"2014","0 points","Quintile 4","All","Not main scheme application","5","5"," ","0"
"2011","1 points","Quintile 4","All","Not main scheme application","5","5"," ","0"
"2013","-1 points","Quintile 4","All","Not main scheme application","5","5"," ","0"
"2015","-1 points","Quintile 4","All","Not main scheme application","5","0"," ","0"
"2016","-1 points","Quintile 4","All","Not main scheme application","5","0"," ","0"
"2019","-1 points","Quintile 4","All","Not main scheme application","5","5"," ","0"
"2020","-1 points","Quintile 4","All","Not main scheme application","5","0"," ","0"
"2015","-2 points","Quintile 4","All","Not main scheme application","5","0"," ","0"
"2014","-3 points","Quintile 4","All","Not main scheme application","5","0"," ","0"
"2016","-3 points","Quintile 4","All","Not main scheme application","5","5"," ","0"
"2017","-3 points","Quintile 4","All","Not main scheme application","5","0"," ","0"
"2018","-3 points","Quintile 4","All","Not main scheme application","5","0"," ","0"
"2017","-4 points","Quintile 4","All","Not main scheme application","5","5"," ","0"
"2019","-4 points","Quintile 4","All","Not main scheme application","5","0"," ","0"
"2017","-6 points","Quintile 4","All","Not main scheme application","5","5"," ","0"
"2022","Less than -6 points","Quintile 4","All","Not main scheme application","5","0"," ","0"
"2023","Less than -6 points","Quintile 4","All","Not main scheme application","5","0"," ","0"
"2014","0 points","Quintile 5","All","Not main scheme application","5","5"," ","0"
"2015","0 points","Quintile 5","All","Not main scheme application","5","5"," ","0"
"2010","-1 points","Quintile 5","All","Not main scheme application","5","5"," ","0"
"2014","-1 points","Quintile 5","All","Not main scheme application","5","0"," ","0"
"2015","-1 points","Quintile 5","All","Not main scheme application","5","5"," ","0"
"2016","-1 points","Quintile 5","All","Not main scheme application","5","0"," ","0"
"2020","-1 points","Quintile 5","All","Not main scheme application","5","5"," ","0"
"2010","-2 points","Quintile 5","All","Not main scheme application","5","5"," ","0"
"2011","-2 points","Quintile 5","All","Not main scheme application","5","0"," ","0"
"2015","-2 points","Quintile 5","All","Not main scheme application","5","0"," ","0"
"2017","-2 points","Quintile 5","All","Not main scheme application","5","5"," ","0"
"2019","-2 points","Quintile 5","All","Not main scheme application","5","5"," ","0"
"2014","-3 points","Quintile 5","All","Not main scheme application","5","5"," ","0"
"2015","-4 points","Quintile 5","All","Not main scheme application","5","0"," ","0"
"2010","-5 points","Quintile 5","All","Not main scheme application","5","5"," ","0"
"2015","-5 points","Quintile 5","All","Not main scheme application","5","0"," ","0"
"2019","-5 points","Quintile 5","All","Not main scheme application","5","0"," ","0"
"2010","-6 points","Quintile 5","All","Not main scheme application","5","5"," ","0"
"2014","-6 points","Quintile 5","All","Not main scheme application","5","0"," ","0"
"2016","Less than -6 points","Quintile 5","All","Not main scheme application","5","0"," ","0"
"2018","Less than -6 points","Quintile 5","All","Not main scheme application","5","0"," ","0"
"2023","Less than -6 points","Quintile 5","All","Not main scheme application","5","5"," ","0"
"2010","0 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2012","0 points","Quintile 1","All","Main scheme application","5","0"," ","0"
"2014","0 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2015","0 points","Quintile 1","All","Main scheme application","10","5"," ","0"
"2016","0 points","Quintile 1","All","Main scheme application","5","0"," ","0"
"2017","0 points","Quintile 1","All","Main scheme application","5","0"," ","0"
"2018","0 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2019","0 points","Quintile 1","All","Main scheme application","5","0"," ","0"
"2020","0 points","Quintile 1","All","Main scheme application","10","10","1","0"
"2021","0 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2022","0 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2023","0 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2011","1 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2015","1 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2016","1 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2020","1 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2021","1 points","Quintile 1","All","Main scheme application","10","5"," ","0"
"2014","2 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2015","2 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2020","2 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2021","2 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2010","3 points","Quintile 1","All","Main scheme application","5","0"," ","0"
"2020","3 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2013","More than 3 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2021","More than 3 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2010","-1 points","Quintile 1","All","Main scheme application","5","0"," ","0"
"2013","-1 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2015","-1 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2016","-1 points","Quintile 1","All","Main scheme application","5","0"," ","0"
"2018","-1 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2019","-1 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2020","-1 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2021","-1 points","Quintile 1","All","Main scheme application","10","5"," ","0"
"2022","-1 points","Quintile 1","All","Main scheme application","5","0"," ","0"
"2012","-2 points","Quintile 1","All","Main scheme application","5","0"," ","0"
"2014","-2 points","Quintile 1","All","Main scheme application","5","0"," ","0"
"2015","-2 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2016","-2 points","Quintile 1","All","Main scheme application","5","0"," ","0"
"2017","-2 points","Quintile 1","All","Main scheme application","5","5"," ","0"
"2019","-2 points","Quintile 1","All","Main scheme application","5","5"," ","0"
