"Year","Difference between predicted and achieved SQA higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2015","-3 points","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-3 points","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-3 points","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-3 points","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-3 points","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-4 points","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-4 points","18","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","-4 points","18","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","-5 points","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-5 points","18","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","-5 points","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-5 points","18","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","-6 points","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-6 points","18","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","-6 points","18","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","Less than -6 points","18","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","Less than -6 points","18","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","Less than -6 points","18","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","Less than -6 points","18","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Less than -6 points","18","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Less than -6 points","18","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","0 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","0 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","0 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","0 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","0 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","1 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","1 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","-1 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","-1 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","-1 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-1 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-1 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-1 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-1 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","-1 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-2 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-2 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","-2 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","-2 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-2 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-2 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-3 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
